text,task_1,split
really  nall businesses  n nthats people dont follow rules   becomes terrorist ,HOF,train
 realdonaldtrump dirty president   fucktrump https   co clnrsl khx,HOF,train
 rayleengale  vote      strongertogether      loveislove course            fucktrump  bluesenate          ,HOF,train
seems trump supporters understand  respect  works  earned action intention  accomplishments     fucktrump  allgodsarefalsegods,HOF,train
damning allegations  realdonaldtrump sexually assaulted women could jeopardized election campaign  im stranger accountability  trumptherapist crossed line  sexualmisconduct going stop    n n trumpisarapist  donthecon,HOF,train
 joeyndavid  realdonaldtrump goes double  douchebag united states love america  shall rise  one get complacent hit polls even disastrous  wantt newly elected president,HOF,train
 trump puts golf country   trumpisatraitor,HOF,train
enjoying listening  realdonaldtrump try backpeddle comments accepting foreign help willing participant  corruption   trumpisatraitor  trumpcoverup,HOF,train
 gordonramsay  tyson fury gordon bennet  would want selfie ramsey  dickhead,HOF,train
 therealoj    krisjenner best thing shut lying mouth  one believes innocent accused  abuser gotten away murder  obviously listened  alandersh live life away public eye   murderer,HOF,train
nation concerned dhoni gloves entire missing plane  dhonikeepstheglove   ,HOF,train
 psychdr    idiot magat ready take govt          trumpsupporters  morons  magat  trumpsamerica  trumpisatraitor https   co jpidtehvsw,HOF,train
narcissistic president embarrassment human  yet represents america   ashamed   interview abc unbearable watch   lies  lies lies   even show respect looking people talking    douchebag https   co ucioplxtuh,HOF,train
opinion  trump abandoning lgbtq people pride flags  resist  resisttrump  fucktrump https   co qasyed mlr,HOF,train
damn   realdonaldtrump loser  magats care  suckers   maga  foxnews  fucktrump https   co magxr f vb via  huffpostpol,HOF,train
 doctorsfightback      sorry present state bangal  india capital literature  politics  religious activity etc  feel people bengal suffering mistake electing people rulers ,HOF,train
